recorder,recorderid,recorderlogin,identifier,ids,records,identifierid,identifierlogin,totalids
Mews,{293449},{mws},Will Van Hemessen,59,4323,{187480},{wdvanhem},7004
Dr. Alison Northup,{438488},{alisonnorthup},Robby Deans,58,3439,{18780},{hydaticus},4501
mycowalt,{239596},{mycowalt},Matt Schultz,56,728,{1030528},{matthias55},2129
Dr. Alison Northup,{438488},{alisonnorthup},Nathan Taylor,54,3439,{43815},{nathantaylor},6106
Jack Coulter,{1920837},{jackc210},raymie,53,1887,{765334},{raymie},2672
Erika Mitchell,{12158},{erikamitchell},Nick Block,53,11788,{39752},{nlblock},7316
Erika Mitchell,{12158},{erikamitchell},Chris Hoess,51,11788,{19073},{choess},8307
Jesse Rorabaugh,{52839},{glmory},Nathan Taylor,51,2365,{43815},{nathantaylor},6106
Jim,,,borisb,50,4574,,,10282
Markus Krieger,{1365773},{markuskrieger},borisb,50,1760,,,10282
Damon Tighe,{3494},{damontighe},Alex Wright,49,4825,{205278},{ajwright},4980
Merav Vonshak,{34038},{merav},catchang,48,5618,{179103},{catchang},6583
Heather Holm,{723565},{heatherholm},John Ascher,48,654,{419371},{johnascher},17709
Ken Rosenthal,{192858},{krosenthal},Gray Catanzaro,47,3725,,,7198
Susan J. Hewitt,{50920},{susanhewitt},Nathan Taylor,46,14052,{43815},{nathantaylor},6106
botanygirl,{5892},{botanygirl},Tom Norton,46,836,{175837},{tsn},6872
benandkerstyn,{462472},{benandkerstyn},Jeff,46,3456,,,6346
Susan J. Hewitt,{50920},{susanhewitt},Sara Rall,45,14052,{35078},{srall},17566
Caleb Scholtens,{472970},{upupa-epops},Barbara L. Wilson,45,567,{1309897},{sedgequeen},5495
Nathan Peters,{616772},{nrpeters},Chris Hoess,45,2044,{19073},{choess},8307
Elliot Greiner,{292489},{elliotgreiner},Adam Kranz,43,3950,{1673632},{megachile},3119
Dr. Alison Northup,{438488},{alisonnorthup},Susan J. Hewitt,42,3439,{50920},{susanhewitt},14111
Merav Vonshak,{34038},{merav},Valia Pavlou,42,5618,{1441483},{karakaxa},3856
Lily M,,,Tom Norton,42,2701,{175837},{tsn},6872
Sara Rall,{35078},{srall},John Ascher,42,18482,{419371},{johnascher},17709
roomthily,{442615},{roomthily},John Ascher,41,4783,{419371},{johnascher},17709
Even Dankowicz,{165078},{edanko},Grant Schiermeyer,40,4890,,,1829
Nathan Peters,{616772},{nrpeters},Julie Travaglini,39,2044,,,248
jody klocko,{1108556},{jody41},John Plischke,39,260,{477643},{johnplischke},1236
thesnaguy,{132961},{thesnaguy},Jeff,39,184,,,6346
Even Dankowicz,{165078},{edanko},Brandon Woo,38,4890,,,4675
Erika Mitchell,{12158},{erikamitchell},blocky,38,11788,,,1170
Nathan Peters,{616772},{nrpeters},Eric Williams,38,2044,{275627},{ericwilliams},2458
billiken,{1422324},{billiken},John Ascher,38,319,{419371},{johnascher},17709
Brad Walker,{369892},{edgarallenhoopoe},Brandon Woo,37,1700,,,4675
nycticorax,{144923},{nycticorax},Nick Block,36,1382,{39752},{nlblock},7316
chloe 🍉,{597691},{watermelonpunch},Mark Apgar,36,433,{18701},{apgarm},4681
Erika Mitchell,{12158},{erikamitchell},hobiecat,35,11788,{13406},{hobiecat},3426
maureenclare,{1161656},{maureenclare},mcaple,35,1059,{558416},{mcaple},4708
Timothy Reichard,{17932},{treichard},blocky,34,6276,,,1170
Erika Mitchell,{12158},{erikamitchell},Brandon Woo,34,11788,,,4675
Nathan Peters,{616772},{nrpeters},John Ascher,34,2044,{419371},{johnascher},17709
Brenna Farrell,{521996},{brennafarrell},Valia Pavlou,34,5734,{1441483},{karakaxa},3856
Nathan Peters,{616772},{nrpeters},Matt Schultz,34,2044,{1030528},{matthias55},2129
Elliot Greiner,{292489},{elliotgreiner},Jeff,33,3950,,,6346
Even Dankowicz,{165078},{edanko},Nick Block,33,4890,{39752},{nlblock},7316
Jonathan (JC) Carpenter,{15723},{reallifeecology},Chris Hoess,33,1892,{19073},{choess},8307
Caleb Scholtens,{472970},{upupa-epops},Will Van Hemessen,32,567,{187480},{wdvanhem},7004
Mews,{293449},{mws},Joe Bartok,32,4323,{584526},{joebartok},6103
roomthily,{442615},{roomthily},Jeff,32,4783,,,6346
Bill,,,John Ascher,32,1184,{419371},{johnascher},17709
Rebecca Cowser,,,Tom Norton,32,253,{175837},{tsn},6872
Mark Apgar,{18701},{apgarm},Tom Norton,31,1297,{175837},{tsn},6872
Daniel Onea,{659740},{dalien},Tom Norton,31,2369,{175837},{tsn},6872
Brad Walker,{369892},{edgarallenhoopoe},John Ascher,31,1700,{419371},{johnascher},17709
Jessica Lowery,{298304},{jessicalowery},Jim Lemon,31,1843,{395663},{jimlem},4739
peng1pete,{1016647},{peng1pete},Pete Woods,31,277,{2470},{pete_woods},1265
Matt,,,Nathan Taylor,30,2262,{43815},{nathantaylor},6106
Annie Evankow,{336491},{annie_evankow},Tom Norton,29,653,{175837},{tsn},6872
Erika Mitchell,{12158},{erikamitchell},Will Van Hemessen,29,11788,{187480},{wdvanhem},7004
Erika Mitchell,{12158},{erikamitchell},Caleb Scholtens,29,11788,{472970},{upupa-epops},2821
Charlie Hohn,{2179},{charlie},Tom Norton,29,4342,{175837},{tsn},6872
John Boldt,{931776},{johnhboldt},mcaple,28,4585,{558416},{mcaple},4708
Jesse Rorabaugh,{52839},{glmory},Will Van Hemessen,28,2365,{187480},{wdvanhem},7004
Daniel Onea,{659740},{dalien},John Ascher,28,2369,{419371},{johnascher},17709
Joe Bartok,{584526},{joebartok},John Ascher,28,4025,{419371},{johnascher},17709
Blake Pagnier,{1749181},{bpagnier},Adam Kranz,28,905,{1673632},{megachile},3119
Brenna Farrell,{521996},{brennafarrell},bobbyfingers,28,5734,{769610},{bobbyfingers},6331
Ailfe Giggles,{1133344},{ailfegiggles},Joshua Lincoln,28,623,{20198},{joshualincoln},7925
Ken Potter,{284003},{ken-potter},Nate Martineau,28,4095,,,3345
Damon Tighe,{3494},{damontighe},John Ascher,28,4825,{419371},{johnascher},17709
Lily M,,,Charlie Hohn,27,2701,{2179},{charlie},4520
Jim,,,Valia Pavlou,27,4574,{1441483},{karakaxa},3856
Liz Childress,{447172},{lizch},Brandon Woo,27,364,,,4675
Erika Mitchell,{12158},{erikamitchell},Charlie Hohn,27,11788,{2179},{charlie},4520
Anna Sheppard,{667830},{annacarolyn},Will Van Hemessen,27,1774,{187480},{wdvanhem},7004
Sara Rall,{35078},{srall},Caleb Scholtens,27,18482,{472970},{upupa-epops},2821
Erika Mitchell,{12158},{erikamitchell},Joe Bartok,27,11788,{584526},{joebartok},6103
Damon Tighe,{3494},{damontighe},cstobie,27,4825,{956156},{cstobie},1696
Mike Benard,{127104},{mfbenard},mcaple,27,408,{558416},{mcaple},4708
Nathan Peters,{616772},{nrpeters},Caleb Scholtens,27,2044,{472970},{upupa-epops},2821
Robby Deans,{18780},{hydaticus},Nathan Taylor,27,5132,{43815},{nathantaylor},6106
Timothy Reichard,{17932},{treichard},Tom Norton,26,6276,{175837},{tsn},6872
Liz Childress,{447172},{lizch},Buddy,26,364,,,4186
Blake Pagnier,{1749181},{bpagnier},Nate Martineau,26,905,,,3345
catchang,{179103},{catchang},Nick Block,26,4465,{39752},{nlblock},7316
Jenny Glenn,{454536},{jmgconsult},Joshua Lincoln,26,3047,{20198},{joshualincoln},7925
MaLisa Spring,{242224},{malisaspring},Eric Williams,26,1766,{275627},{ericwilliams},2458
Sara Rall,{35078},{srall},roomthily,26,18482,{442615},{roomthily},11733
Ken Potter,{284003},{ken-potter},mcaple,26,4095,{558416},{mcaple},4708
Robby Deans,{18780},{hydaticus},Dr. Alison Northup,25,5132,{438488},{alisonnorthup},4651
Mirko Schoenitz,{340786},{schoenitz},Sara Rall,25,522,{35078},{srall},17566
Damon Tighe,{3494},{damontighe},catchang,25,4825,{179103},{catchang},6583
Adam Kranz,{1673632},{megachile},John Ascher,25,2545,{419371},{johnascher},17709
rayrob,{463085},{rayrob},John Ascher,25,3042,{419371},{johnascher},17709
Charlie Hohn,{2179},{charlie},dorothy,25,4342,,,284
Jessica Lowery,{298304},{jessicalowery},Joshua Lincoln,25,1843,{20198},{joshualincoln},7925
lifescience7,{1553878},{lifescience7},Pete Woods,25,141,{2470},{pete_woods},1265
C. Mallory,{275891},{psyllidhipster},Ian Swift,25,2377,{722342},{ianswift},2797
Sara Rall,{35078},{srall},Bonnie Semmling,25,18482,{1783503},{mertensia},850
Susan J. Hewitt,{50920},{susanhewitt},Nick Block,24,14052,{39752},{nlblock},7316
Eric Knight,{23016},{knightericm},Nathan Taylor,24,1882,{43815},{nathantaylor},6106
Navin Sasikumar,{505286},{navin_sasikumar},Chris Hoess,24,1929,{19073},{choess},8307
Navin Sasikumar,{505286},{navin_sasikumar},Anne Bekker,24,1929,,,312
Shaun M. McCoshum,{105431},{shaunmichael},John Ascher,24,2955,{419371},{johnascher},17709
Katya Drake,{1366832},{kxt_2021},Jim,24,355,,,4300
Erika Mitchell,{12158},{erikamitchell},Greg Lasley,24,11788,{9706},{greglasley},9578
Jack Coulter,{1920837},{jackc210},benandkerstyn,24,1887,{462472},{benandkerstyn},3630
peng1pete,{1016647},{peng1pete},Matt Schultz,24,277,{1030528},{matthias55},2129
Victor W Fazio III,{13444},{vicfazio3},Patrick Hanly,24,7523,{473359},{hanly},2147
ablaydes,{1661629},{ablaydes},hhoward7,24,1127,{1481694},{hhoward7},826
Erika Mitchell,{12158},{erikamitchell},Joshua Lincoln,24,11788,{20198},{joshualincoln},7925
raphael1c,{617600},{raphael1c},Tom Norton,23,188,{175837},{tsn},6872
Even Dankowicz,{165078},{edanko},John Ascher,23,4890,{419371},{johnascher},17709
saraclementina,{1437570},{saraclementina},roomthily,23,2119,{442615},{roomthily},11733
Jonathan (JC) Carpenter,{15723},{reallifeecology},Buddy,23,1892,,,4186
Jonathan (JC) Carpenter,{15723},{reallifeecology},thebals,23,1892,{20707},{thebals},3647
Nathan Peters,{616772},{nrpeters},John Plischke,23,2044,{477643},{johnplischke},1236
Owen Clarkin,{164015},{owenclarkin},Chris Hoess,23,5505,{19073},{choess},8307
nycticorax,{144923},{nycticorax},Tom Norton,23,1382,{175837},{tsn},6872
Jenny Glenn,{454536},{jmgconsult},Gray Catanzaro,22,3047,,,7198
Melissa McMasters,{90723},{mmcmasters},John Ascher,22,1472,{419371},{johnascher},17709
Brenna Farrell,{521996},{brennafarrell},Joshua Lincoln,22,5734,{20198},{joshualincoln},7925
whiteanne,{879898},{whiteanne},mcaple,22,134,{558416},{mcaple},4708
Brenna Farrell,{521996},{brennafarrell},aaronr,22,5734,{1151838},{aaronr},3233
Daniel Onea,{659740},{dalien},Joshua Lincoln,22,2369,{20198},{joshualincoln},7925
Elliot Greiner,{292489},{elliotgreiner},Tom Norton,22,3950,{175837},{tsn},6872
Elliot Greiner,{292489},{elliotgreiner},Chris Hoess,22,3950,{19073},{choess},8307
jbp316,{1636387},{jbp316},roomthily,22,884,{442615},{roomthily},11733
Nathan Taylor,{43815},{nathantaylor},Jeff,22,1276,,,6346
jimbo1219,{1664541},{jimbo1219},Pete Woods,21,28,{2470},{pete_woods},1265
Brenna Farrell,{521996},{brennafarrell},Brandon Woo,21,5734,,,4675
Brett,,,Will Van Hemessen,21,1114,{187480},{wdvanhem},7004
Melissa McMasters,{90723},{mmcmasters},Nick Block,21,1472,{39752},{nlblock},7316
Erika Mitchell,{12158},{erikamitchell},Grant Schiermeyer,21,11788,,,1829
MaLisa Spring,{242224},{malisaspring},Jim Lemon,21,1766,{395663},{jimlem},4739
John Boldt,{931776},{johnhboldt},Chris Hoess,21,4585,{19073},{choess},8307
hhoward7,{1481694},{hhoward7},Jim,21,936,,,4300
Jesse Rorabaugh,{52839},{glmory},Charlie Hohn,21,2365,{2179},{charlie},4520
Jenny Glenn,{454536},{jmgconsult},Tom Norton,21,3047,{175837},{tsn},6872
Erik Danielsen,{192963},{er1kksen},Chris Hoess,21,3349,{19073},{choess},8307
Merav Vonshak,{34038},{merav},borisb,21,5618,,,10282
Nathan Peters,{616772},{nrpeters},joannerusso,21,2044,{6624},{joannerusso},3149
Mike Abel,{1143403},{mikeabel},Jim Lemon,20,902,{395663},{jimlem},4739
Erika Mitchell,{12158},{erikamitchell},Susan J. Hewitt,20,11788,{50920},{susanhewitt},14111
Mews,{293449},{mws},mcaple,20,4323,{558416},{mcaple},4708
Erika Mitchell,{12158},{erikamitchell},Adam Kranz,20,11788,{1673632},{megachile},3119
chloe 🍉,{597691},{watermelonpunch},roomthily,20,433,{442615},{roomthily},11733
Shaun M. McCoshum,{105431},{shaunmichael},Nick Block,20,2955,{39752},{nlblock},7316
Susan J. Hewitt,{50920},{susanhewitt},Tom Norton,20,14052,{175837},{tsn},6872
octobertraveler,{285290},{octobertraveler},Chris Hoess,20,703,{19073},{choess},8307
Nathan Peters,{616772},{nrpeters},Timothy Reichard,20,2044,{17932},{treichard},6272
John Boldt,{931776},{johnhboldt},Jeff,20,4585,,,6346
Cara Coulter,{1673052},{just_add_water},John Plischke,20,337,{477643},{johnplischke},1236
Ken Potter,{284003},{ken-potter},Timothy Frey,19,4095,{1878779},{calconey},679
Mews,{293449},{mws},Valia Pavlou,19,4323,{1441483},{karakaxa},3856
Susan J. Hewitt,{50920},{susanhewitt},Mark Apgar,19,14052,{18701},{apgarm},4681
Erika Mitchell,{12158},{erikamitchell},Mark Apgar,19,11788,{18701},{apgarm},4681
Brenna Farrell,{521996},{brennafarrell},Greg Lasley,19,5734,{9706},{greglasley},9578
Nathan Peters,{616772},{nrpeters},Tom Norton,19,2044,{175837},{tsn},6872
Stephen Bucklin,{116988},{stephen_bucklin},John Plischke,19,486,{477643},{johnplischke},1236
Erika Mitchell,{12158},{erikamitchell},roomthily,19,11788,{442615},{roomthily},11733
Erik Danielsen,{192963},{er1kksen},Morgan Macy,19,3349,,,1218
Jason J. Dombroskie,{574531},{jasondombroskie},Tom Norton,19,1669,{175837},{tsn},6872
Nathan Peters,{616772},{nrpeters},blocky,19,2044,,,1170
Bill,,,Chris Hoess,18,1184,{19073},{choess},8307
robbraam,{952720},{robbraam},Will Van Hemessen,18,189,{187480},{wdvanhem},7004
jmardovin,{1499607},{jmardovin},Tom Norton,18,100,{175837},{tsn},6872
Karen Yukich,{303165},{kyukich},Rob Westerduijn,18,489,{1442162},{rob-westerduijn},3878
Heather Holm,{723565},{heatherholm},Matthias Buck,18,654,{1040988},{matthias22},3952
Katya Drake,{1366832},{kxt_2021},hhoward7,18,355,{1481694},{hhoward7},826
Nathan Peters,{616772},{nrpeters},Buddy,18,2044,,,4186
Barbara L. Wilson,{1309897},{sedgequeen},Alex Wright,18,3005,{205278},{ajwright},4980
Jonathan (JC) Carpenter,{15723},{reallifeecology},Will Kuhn,18,1892,{53153},{willkuhn},395
Charlie Hohn,{2179},{charlie},Chris Hoess,18,4342,{19073},{choess},8307
catchang,{179103},{catchang},Nathan Taylor,18,4465,{43815},{nathantaylor},6106
John Boldt,{931776},{johnhboldt},psweet,18,4585,,,3177
Jesse Rorabaugh,{52839},{glmory},Dr. Alison Northup,18,2365,{438488},{alisonnorthup},4651
Mark Nenadov,{117089},{marknenadov},aaronr,18,589,{1151838},{aaronr},3233
Shaun M. McCoshum,{105431},{shaunmichael},Mark Fishbein,18,2955,{442526},{milkweedguy},2911
Nathan Peters,{616772},{nrpeters},Jeff,17,2044,,,6346
Mews,{293449},{mws},Arturo Santos,17,4323,,,2047
Charlie Hohn,{2179},{charlie},Mark Apgar,17,4342,{18701},{apgarm},4681
Brian,,,bobbyfingers,17,2676,{769610},{bobbyfingers},6331
Dr. Alison Northup,{438488},{alisonnorthup},Janet Wright,17,3439,{56162},{janetwright},3872
Susan J. Hewitt,{50920},{susanhewitt},Caleb Scholtens,17,14052,{472970},{upupa-epops},2821
drcrawdad,{461935},{drcrawdad},Pete Woods,17,69,{2470},{pete_woods},1265
Mews,{293449},{mws},John Ascher,17,4323,{419371},{johnascher},17709
John Plischke,{477643},{johnplischke},mycowalt,17,471,{239596},{mycowalt},1661
ablaydes,{1661629},{ablaydes},Lorenzo D'Alessio,17,1127,{1451099},{lmdalessio},790
Navin Sasikumar,{505286},{navin_sasikumar},Tom Norton,17,1929,{175837},{tsn},6872
Nathan Peters,{616772},{nrpeters},b_coulter,17,2044,{15770},{b_coulter},1002
Mark Nenadov,{117089},{marknenadov},Will Van Hemessen,17,589,{187480},{wdvanhem},7004
Daniel Onea,{659740},{dalien},Chris Hoess,17,2369,{19073},{choess},8307
Merav Vonshak,{34038},{merav},Heather Fulton-Bennett,17,5618,,,3558
nycticorax,{144923},{nycticorax},botanygirl,17,1382,{5892},{botanygirl},525
hhoward7,{1481694},{hhoward7},John Ascher,17,936,{419371},{johnascher},17709
jrcagle,{1588724},{jrcagle},Timothy Reichard,17,2188,{17932},{treichard},6272
Matt Schultz,{1030528},{matthias55},Chris Hoess,17,1255,{19073},{choess},8307
Shaun M. McCoshum,{105431},{shaunmichael},Chris Hoess,17,2955,{19073},{choess},8307
Erika Mitchell,{12158},{erikamitchell},Jeff,17,11788,,,6346
Daniel Onea,{659740},{dalien},Greg Lasley,17,2369,{9706},{greglasley},9578
Nathan Peters,{616772},{nrpeters},Andrew Meeds,17,2044,{917390},{ameeds},2448
jrcagle,{1588724},{jrcagle},Nick Block,17,2188,{39752},{nlblock},7316
Shaun M. McCoshum,{105431},{shaunmichael},bugman1388,16,2955,{132849},{bugman1388},622
ckim,{1555077},{ckim},Sara Rall,16,145,{35078},{srall},17566
Hamilton Naturalists' Club,{801267},{hamiltonnature},Will Van Hemessen,16,151,{187480},{wdvanhem},7004
Mews,{293449},{mws},Matthias Buck,16,4323,{1040988},{matthias22},3952
Jenny Glenn,{454536},{jmgconsult},John Ascher,16,3047,{419371},{johnascher},17709
Shaun M. McCoshum,{105431},{shaunmichael},Russell Pfau,16,2955,{139257},{pfau_tarleton},2197
Anna Sheppard,{667830},{annacarolyn},Jason J. Dombroskie,16,1774,{574531},{jasondombroskie},2362
Erika Mitchell,{12158},{erikamitchell},Matthias Buck,16,11788,{1040988},{matthias22},3952
maureenclare,{1161656},{maureenclare},Alex Wright,16,1059,{205278},{ajwright},4980
Shaun M. McCoshum,{105431},{shaunmichael},roomthily,16,2955,{442615},{roomthily},11733
kathawk,{300278},{kathawk},Alex Wright,16,2172,{205278},{ajwright},4980
Victor W Fazio III,{13444},{vicfazio3},Jason J. Dombroskie,16,7523,{574531},{jasondombroskie},2362
Sara Rall,{35078},{srall},Adam Kranz,16,18482,{1673632},{megachile},3119
mikebeam,{900679},{mikebeam},mcaple,16,173,{558416},{mcaple},4708
Jason J. Dombroskie,{574531},{jasondombroskie},Chris Hoess,16,1669,{19073},{choess},8307
Even Dankowicz,{165078},{edanko},joannerusso,16,4890,{6624},{joannerusso},3149
Ken Potter,{284003},{ken-potter},John Ascher,16,4095,{419371},{johnascher},17709
Jack Coulter,{1920837},{jackc210},Jeff,16,1887,,,6346
Lynn Michael,{112023},{jlmichael},Chris Hoess,16,477,{19073},{choess},8307
Brenna Farrell,{521996},{brennafarrell},Susanna Heideman,16,5734,{399948},{susanna_h},2216
Nathan Peters,{616772},{nrpeters},Mark Apgar,15,2044,{18701},{apgarm},4681
Russell Pfau,{139257},{pfau_tarleton},Chuck Sexton,15,1073,{27047},{gcwarbler},5744
Susan J. Hewitt,{50920},{susanhewitt},roomthily,15,14052,{442615},{roomthily},11733
Navin Sasikumar,{505286},{navin_sasikumar},Caleb Scholtens,15,1929,{472970},{upupa-epops},2821
Victor W Fazio III,{13444},{vicfazio3},Chuck Sexton,15,7523,{27047},{gcwarbler},5744
Erika Mitchell,{12158},{erikamitchell},John Klymko,15,11788,{191857},{johnklymko},424
roomthily,{442615},{roomthily},Nick Block,15,4783,{39752},{nlblock},7316
Even Dankowicz,{165078},{edanko},Jason J. Dombroskie,15,4890,{574531},{jasondombroskie},2362
Andrew Meeds,{917390},{ameeds},Arturo Santos,15,1277,,,2047
Even Dankowicz,{165078},{edanko},Buddy,15,4890,,,4186
Mark,,,Tom Norton,15,2002,{175837},{tsn},6872
Joe Bartok,{584526},{joebartok},Matthias Buck,15,4025,{1040988},{matthias22},3952
Nathan Peters,{616772},{nrpeters},k8thegr8,15,2044,,,7064
ablaydes,{1661629},{ablaydes},John Ascher,15,1127,{419371},{johnascher},17709
Erika Mitchell,{12158},{erikamitchell},Timothy Reichard,15,11788,{17932},{treichard},6272
Erika Mitchell,{12158},{erikamitchell},Valia Pavlou,15,11788,{1441483},{karakaxa},3856
Dr. Alison Northup,{438488},{alisonnorthup},arethusa,15,3439,{250191},{arethusa},3002
Mews,{293449},{mws},Adam Kranz,15,4323,{1673632},{megachile},3119
Brenna Farrell,{521996},{brennafarrell},Nick Block,15,5734,{39752},{nlblock},7316
Erik Danielsen,{192963},{er1kksen},donlubin,15,3349,{1813485},{donlubin},1639
Even Dankowicz,{165078},{edanko},blocky,14,4890,,,1170
Erika Mitchell,{12158},{erikamitchell},thebals,14,11788,{20707},{thebals},3647
Ailfe Giggles,{1133344},{ailfegiggles},mcaple,14,623,{558416},{mcaple},4708
Robby Deans,{18780},{hydaticus},arethusa,14,5132,{250191},{arethusa},3002
Merav Vonshak,{34038},{merav},John Ascher,14,5618,{419371},{johnascher},17709
Nicholas Sly,{393377},{pagophila},raymie,14,1500,{765334},{raymie},2672
octobertraveler,{285290},{octobertraveler},John Ascher,14,703,{419371},{johnascher},17709
Ken Rosenthal,{192858},{krosenthal},Chris Hoess,14,3725,{19073},{choess},8307
Ken Potter,{284003},{ken-potter},Adam Kranz,14,4095,{1673632},{megachile},3119
Idlegrraphics,{370284},{idlegrraphics},feliscatus18,14,1284,{1343598},{feliscatus18},984
Navin Sasikumar,{505286},{navin_sasikumar},John Ascher,14,1929,{419371},{johnascher},17709
Jonathan (JC) Carpenter,{15723},{reallifeecology},Janet Wright,14,1892,{56162},{janetwright},3872
Thomas Koffel,{320666},{tkoffel},Matthias Buck,14,3652,{1040988},{matthias22},3952
Sara Rall,{35078},{srall},Matthias Buck,14,18482,{1040988},{matthias22},3952
botanygirl,{5892},{botanygirl},Chris Hoess,14,836,{19073},{choess},8307
Nathan Peters,{616772},{nrpeters},Rusty Burlew,14,2044,,,2413
Wendelyn Bolles,{1453413},{wendelyns},donlubin,14,372,{1813485},{donlubin},1639
Dr. Alison Northup,{438488},{alisonnorthup},Chris Hoess,14,3439,{19073},{choess},8307
Erika Mitchell,{12158},{erikamitchell},k8thegr8,14,11788,,,7064
Even Dankowicz,{165078},{edanko},Jonathan Hoskins,14,4890,,,3205
Mews,{293449},{mws},Owen Clarkin,14,4323,{164015},{owenclarkin},5074
Even Dankowicz,{165078},{edanko},Matthias Buck,14,4890,{1040988},{matthias22},3952
Ken Rosenthal,{192858},{krosenthal},John Ascher,14,3725,{419371},{johnascher},17709
Michael Pirrello,{1276353},{michaelpirrello},Anne Bekker,14,563,,,312
Colleen Burgess Crank,{1432677},{colleenburgesscrank},John Ascher,14,545,{419371},{johnascher},17709
Andrew Meeds,{917390},{ameeds},Brandon Woo,14,1277,,,4675
Charlie Hohn,{2179},{charlie},donlubin,14,4342,{1813485},{donlubin},1639
hausbaun,{491038},{hausbaun},Mark Apgar,14,212,{18701},{apgarm},4681
Robby Deans,{18780},{hydaticus},Susan J. Hewitt,14,5132,{50920},{susanhewitt},14111
Russell Pfau,{139257},{pfau_tarleton},Buddy,14,1073,,,4186
Sara Rall,{35078},{srall},Will Van Hemessen,14,18482,{187480},{wdvanhem},7004
Sam Ashley,{297988},{lorax32},Lily M,14,191,,,2485
Brenna Farrell,{521996},{brennafarrell},James Wetterer,14,5734,{98904},{jimw3},1176
Nathan Peters,{616772},{nrpeters},Patrick Hanly,14,2044,{473359},{hanly},2147
Robby Deans,{18780},{hydaticus},bobbyfingers,14,5132,{769610},{bobbyfingers},6331
Susan J. Hewitt,{50920},{susanhewitt},Dr. Alison Northup,14,14052,{438488},{alisonnorthup},4651
Kelly Krechmer,,,Jeff,14,1331,,,6346
Bill,,,Caleb Scholtens,14,1184,{472970},{upupa-epops},2821
catchang,{179103},{catchang},Valia Pavlou,13,4465,{1441483},{karakaxa},3856
Kelly Krechmer,,,roomthily,13,1331,{442615},{roomthily},11733
Damon Tighe,{3494},{damontighe},Jeff,13,4825,,,6346
Michael Dawber,{113368},{ursus_arctos},Will Van Hemessen,13,1251,{187480},{wdvanhem},7004
Chuck Sexton,{27047},{gcwarbler},blocky,13,4657,,,1170
Blake Pagnier,{1749181},{bpagnier},mcaple,13,905,{558416},{mcaple},4708
hhoward7,{1481694},{hhoward7},Caleb Scholtens,13,936,{472970},{upupa-epops},2821
Lily M,,,Jonathan Layman,13,2701,{291618},{jlayman},1549
Barbara L. Wilson,{1309897},{sedgequeen},Nick Block,13,3005,{39752},{nlblock},7316
Sara Rall,{35078},{srall},C. Mallory,13,18482,{275891},{psyllidhipster},3517
Erik Danielsen,{192963},{er1kksen},Joshua Lincoln,13,3349,{20198},{joshualincoln},7925
Brenna Farrell,{521996},{brennafarrell},John Ascher,13,5734,{419371},{johnascher},17709
Victor W Fazio III,{13444},{vicfazio3},mcaple,13,7523,{558416},{mcaple},4708
billiken,{1422324},{billiken},MaLisa Spring,13,319,{242224},{malisaspring},2490
Russell Pfau,{139257},{pfau_tarleton},Matthias Buck,13,1073,{1040988},{matthias22},3952
Idlegrraphics,{370284},{idlegrraphics},Nathan Taylor,13,1284,{43815},{nathantaylor},6106
Michael Pirrello,{1276353},{michaelpirrello},mcaple,13,563,{558416},{mcaple},4708
