sciname,comname,category,value
Echinargus isola,Reakirt's Blue,Insecta,8
Tripudia luxuriosa,Luxurious Tripudia Moth,Insecta,8
Adelpha eulalia,Arizona Sister,Insecta,8
Blastobasidae,Blastobasid Moths,Insecta,8
Carabidae,Ground Beetles,Insecta,8
Microtheoris ophionalis,Yellow-veined Moth,Insecta,8
Ponometia venustula,Pretty Bird-Dropping Moth,Insecta,7
Pontia protodice,Checkered White,Insecta,7
Liorhyssus hyalinus,Hyaline Grass Bug,Insecta,7
Polistes comanchus,Comanche Paper Wasp,Insecta,7
Calidris himantopus,Stilt Sandpiper,Aves,7
Elateridae,Click Beetles,Insecta,7
Bactericera cockerelli,Potato Psyllid,Insecta,7
Ichneumonidae,Ichneumonid Wasps,Insecta,7
Pseudatomoscelis seriatus,Cotton Fleahopper,Insecta,7
Myrmeleontidae,Antlions including Owlflies,Insecta,7
Tipulidae,Large Crane Flies,Insecta,7
Copaeodes aurantiaca,Orange Skipperling,Insecta,7
Ceratopogonidae,Biting Midges,Insecta,7
Asterocampa leilia,Empress Leilia,Insecta,7
Hemieuxoa rudens,Creaky Dart,Insecta,7
Argia munda,Apache Dancer,Insecta,7
Cyclophora nanaria,Dwarf Tawny Wave,Insecta,7
Cydia latiferreana,Filbertworm Moth,Insecta,7
Melanopleurus belfragei,Redcoat Seed Bug,Insecta,7
Mordellidae,Tumbling Flower Beetles,Insecta,7
Thasus neocalifornicus,Giant Mesquite Bug,Insecta,7
Sphaeralcea,globemallows,Plantae,6
Oedipodinae,Band-winged Grasshoppers,Insecta,6
Pepsis,New World Tarantula-hawk Wasps,Insecta,6
Olla v-nigrum,Ashy Gray Lady Beetle,Insecta,6
Dynastinae,Rhinoceros Beetles,Insecta,6
Dymasia dymas,Tiny Checkerspot,Insecta,6
Pachybrachis,Scriptured Leaf Beetles,Insecta,6
Drasteria fumosa,Smoky Arches,Insecta,6
Archirhoe neomexicana,New Mexico Carpet Moth,Insecta,6
Icaricia lupini,Lupine Blue,Insecta,6
Cisthene martini,Martin's Lichen Moth,Insecta,6
Barytettix humphreysii,Humphrey's Grasshopper,Insecta,6
Corythucha morrilli,Morrill Lace Bug,Insecta,6
Leptoglossus clypealis,Western Leaf-footed Bug,Insecta,6
Cicindela sedecimpunctata,Western Red-bellied Tiger Beetle,Insecta,6
Tarache quadriplaga,Four-patched Bird-dropping Moth,Insecta,6
Leptotes marina,Marine Blue,Insecta,6
Mammillaria grahamii,Graham's fishhook cactus,Plantae,6
Lesmone griseipennis,Gray-winged Owlet Moth,Insecta,6
Spodoptera exigua,Beet Armyworm Moth,Insecta,6
Graphocephala atropunctata,Blue-green Sharpshooter,Insecta,6
Scudderia mexicana,Mexican Bush Katydid,Insecta,6
Scudderia,Scudder's Bush Katydids,Insecta,6
Cynipidae,Gall Wasps,Insecta,6
Anthophila,Bees,Insecta,6
Vespula pensylvanica,Western Yellowjacket,Insecta,6
Alticini,Flea Beetles,Insecta,6
Brachinus,Bombardier Beetles,Insecta,6
Muscoidea,Muscoid Flies,Insecta,6
Cobubatha lixiva,Dark-banded Cobubatha Moth,Insecta,6
Rhododactyla,"Underwing, Tiger, Tussock, and Allied Moths",Insecta,6
Rabdophaga,Willow Gall Midges,Insecta,6
Formicidae,Ants,Insecta,6
Delphacidae,Delphacid Planthoppers,Insecta,6
Neotephritis finalis,Sunflower Seed Maggot,Insecta,6
Diceroprocta,Scrub Cicadas,Insecta,6
Chrysina gloriosa,Glorious Jewel Scarab,Insecta,5
Peridroma saucia,Variegated Cutworm Moth,Insecta,5
Hemerobiidae,Brown Lacewings,Insecta,5
Abaeis mexicana,Mexican Yellow,Insecta,5
Copestylum avidum,Yellow-spotted Bromeliad Fly,Insecta,5
Stagmomantis gracilipes,Arizona Tan Mantis,Insecta,5
Chrysopidae,Green Lacewings,Insecta,5
Triscolia ardens,Fire-tailed Scoliid Wasp,Insecta,5
Manduca quinquemaculatus,Five-spotted Hawkmoth,Insecta,5
Malachiinae,Malachite Beetles,Insecta,5
Hydroptilidae,Microcaddisflies,Insecta,5
Blepharomastix ranalis,Hollow-spotted Blepharomastix Moth,Insecta,5
Calypte anna,Anna's Hummingbird,Aves,5
Hyla arenicolor,Canyon Tree Frog,Amphibia,5
Thomisidae,Crab Spiders,Arachnida,5
Zelus renardii,Leafhopper Assassin Bug,Insecta,5
Cisthene angelus,Angel Lichen Moth,Insecta,5
Bertholdia trigona,Grote's bertholdia,Insecta,5
Lobocleta peralbata,Speckled Wave,Insecta,5
Camponotus,Carpenter Ants,Insecta,5
Battus philenor,Pipevine Swallowtail,Insecta,5
Tipulomorpha,Crane Flies,Insecta,5
Cacozelia basiochrealis,Yellow-based Cacozelia Moth,Insecta,5
Calidris bairdii,Baird's Sandpiper,Aves,5
Centruroides sculpturatus,Arizona Bark Scorpion,Arachnida,5
Scythrididae,Flower Moths,Insecta,5
Selenops,Crescent-eyed Spiders,Arachnida,5
Heliocheilus paradoxus,Paradoxical Grass Moth,Insecta,4
Lema trivittata,Three-lined Lema Beetle,Insecta,4
Lepidium virginicum,Virginia pepperweed,Plantae,4
Leptoceridae,Long-horned Caddisflies,Insecta,4
Coniopterygidae,Dustywings,Insecta,4
Apodemia nais,Nais Metalmark,Insecta,4
Lupinus sparsiflorus,Coulter's lupine,Plantae,4
Cosmia calami,American Dun-bar Moth,Insecta,4
Crambidia cephalica,Yellow-headed Lichen Moth,Insecta,4
Macrodactylus uniformis,Western Rose Chafer,Insecta,4
Magnoliopsida,dicots,Plantae,4
Bombus sonorus,Sonoran Bumble Bee,Insecta,4
Ctenucha venosa,Veined Ctenucha Moth,Insecta,4
Curculio,Nut and Acorn Weevils,Insecta,4
Melanoplus differentialis,Differential Grasshopper,Insecta,4
Araneomorphae,Typical Spiders,Arachnida,4
Brachiacantha subfasciata,Short-banded Spurleg,Insecta,4
Muscidae,House Flies and Allies,Insecta,4
Mycetophilidae,Fungus Gnats,Insecta,4
Nathalis iole,Dainty Sulphur,Insecta,4
Nemoria darwiniata,Columbian Emerald,Insecta,4
Brephidium exilis,Western Pygmy-Blue,Insecta,4
Nephrotoma,Tiger Crane Flies,Insecta,4
Diathrausta harlequinalis,Harlequin Webworm Moth,Insecta,4
Archaeognatha,Bristletails,Insecta,4
Noctuinae,Cutworms and Dart Moths,Insecta,4
Noctuoidea,Owlet Moths and Allies,Insecta,4
Digrammia neptaria,Dark-bordered Granite,Insecta,4
Ofatulena duodecemstriata,Twelve-lined Ofatulena,Insecta,4
Archilestes grandis,Great Spreadwing,Insecta,4
Bucrates weissmani,Weissman's Conehead,Insecta,4
Dolichopodidae,Long-legged Flies,Insecta,4
Drasteria pallescens,Paler Graphic,Insecta,4
Cacama moorei,Moore's Cactus Dodger,Insecta,4
Pellaea truncata,spiny cliff-brake,Plantae,4
Eleodes,Desert Stink Beetles,Insecta,4
Pepsis thisbe,Thisbe's Tarantula-hawk Wasp,Insecta,4
Calliandra eriophylla,pink fairy-duster,Plantae,4
Anas platyrhynchos domesticus,Domestic Mallard,Aves,4
Phlaeothripidae,Tube-tailed Thrips,Insecta,4
Entomobryomorpha,Elongate-bodied Springtails,Animalia,4
Epicauta,Burning Blister Beetles,Insecta,4
Physaria gordonii,Gordon's bladderpod,Plantae,4
Platypedia putnami,Putnam's Cicada,Insecta,4
Camponotus vicinus,Bicolored Carpenter Ant,Insecta,4
Polyphylla decemlineata,Ten-lined June Beetle,Insecta,4
Eugenes fulgens,Rivoli's Hummingbird,Aves,4
Euparthenos nubilis,Locust Underwing,Insecta,4
Pseudohemihyalea edwardsii,Edwards' Glassy-wing Moth,Insecta,4
Psyllobora vigintimaculata,Twenty-spotted Lady Beetle,Insecta,4
Euxoa obeliscoides,Obelisk Dart,Insecta,4
Quercus emoryi,Emory oak,Plantae,4
Cecidomyiidae,Gall and Forest Midges,Insecta,4
Celotes nessus,Common Streaky-Skipper,Insecta,4
Rudenia leguminana,Black-tipped Rudenia Moth,Insecta,4
Asteraceae,"sunflowers, daisies, asters, and allies",Plantae,4
Schistocerca nitens,Gray Bird Grasshopper,Insecta,4
Chilopoda,Centipedes,Animalia,4
Chinavia,Green Stink Bugs,Insecta,4
Shelfordella lateralis,Turkestan Cockroach,Insecta,4
Choristoneura houstonana,Juniper Budworm Moth,Insecta,4
Helicopsyche,Spiral Caddisflies,Insecta,4
Chrysomelidae,Leaf Beetles,Insecta,4
Sphinx dollii,Doll's Sphinx,Insecta,4
Chrysoperla,Common Green Lacewings,Insecta,4
Herminiinae,Litter Moths,Insecta,4
Striacosta albicosta,Western Bean Cutworm Moth,Insecta,4
Synchlora frondaria,Southern Emerald,Insecta,4
Tarache expolita,Polished Bird-dropping Moth,Insecta,4
Aphididae,Aphids,Insecta,4
Aphonopelma chalcodes,Desert Blonde Tarantula,Arachnida,4
Idaea basinta,Red-and-white Wave,Insecta,4
Tortricinae,Tortricine Leafroller Moths,Insecta,4
Trichoptera,Caddisflies,Insecta,4
Insecta,Insects,Insecta,4
Vanessa virginiensis,American Lady,Insecta,4
Virbia ostenta,Showy Holomelina,Insecta,4
Walshomyia juniperina,Juniper Urn Gall Midge,Insecta,4
Coloradia pandora,Pandora Pinemoth,Insecta,4
Dactylopius,Cochineal Scale Bugs,Insecta,3
Pyrausta signatalis,Raspberry Pyrausta Moth,Insecta,3
Lestes alacer,Plateau Spreadwing,Insecta,3
Manduca rustica,Rustic Sphinx,Insecta,3
Ammophila,Thread-waisted Sand Wasps,Insecta,3
Cypherotylus californicus,Blue Fungus Beetle,Insecta,3
Cryptantha,catseyes,Plantae,3
Microcentrum californicum,California Anglewing,Insecta,3
Ensifera,Long-horned Orthopterans,Insecta,3
Syrbula montezuma,Montezuma's Grasshopper,Insecta,3
Epargyreus clarus,Silver-spotted Skipper,Insecta,3
Systasea zampa,Arizona Powdered-Skipper,Insecta,3
Poecilotettix pantherinus,Panther-spotted Grasshopper,Insecta,3
Araneae,Spiders,Arachnida,3
Tachinidae,Bristle Flies,Insecta,3
Arta olivalis,Olive Arta Moth,Insecta,3
Heuchera sanguinea,coralbells,Plantae,3
Catocala ilia,Ilia Underwing,Insecta,3
Melissodes paroselae,Parosela Long-horned Bee,Insecta,3
Gnaphosidae,Ground Spiders,Arachnida,3
Scutigera linceci,Arizona house centipede,Animalia,3
Pogonomyrmex,Harvester Ants,Insecta,3
Melipotis perpendicularis,Perpendicular Graphic,Insecta,3
Melipotis jucunda,Merry Graphic Moth,Insecta,3
Agelenidae,Funnel Weavers,Arachnida,3
Leucaniini,Wainscot Moths,Insecta,3
Cicindela punctulata chihuahuae,Chihuahua Tiger Beetle,Insecta,3
Bleptina caradrinalis,Bent-winged Owlet,Insecta,3
Cecidomyiinae,Gall Midges,Insecta,3
Caripeta aequaliaria,Western Conifer Looper,Insecta,3
Myrmecocystus,Honeypot Ants,Insecta,3
Gryllus personatus,Badlands Cricket,Insecta,3
Formicinae,Formicine Ants,Insecta,3
Eumorpha achemon,Achemon Sphinx,Insecta,3
Abaeis nicippe,Sleepy Orange,Insecta,3
Philodromidae,Running Crab Spiders,Arachnida,3
Lygus,Lygus Bugs,Insecta,3
Crambinae,Grass-veneers and Allies,Insecta,3
Eremobatidae,Straight-faced Windscorpions,Arachnida,3
Prolimacodes trigona,Western Skiff Moth,Insecta,3
Agulla,Common Snakeflies,Insecta,3
Setophaga petechia,Yellow Warbler,Aves,3
Thermonectus marmoratus,Sunburst Diving Beetle,Insecta,3
Lycus arizonensis,Arizona Net-winged Beetle,Insecta,3
Balaustium,Sidewalk Mites,Arachnida,3
Halticotoma valida,Yucca Plant Bug,Insecta,3
Lucanus mazama,Cottonwood Stag Beetle,Insecta,3
Anstenoptilia marmarodactyla,Sage Plume Moth,Insecta,3
Reuteroscopus ornatus,Ornate Plant Bug,Insecta,3
Thysanocarpus curvipes amplectens,sand fringepod,Plantae,3
Lonchaeidae,Lance Flies,Insecta,3
Simuliidae,Black Flies,Insecta,3
Ochodaeidae,Sand-loving Scarab Beetles,Insecta,3
Corixidae,Water Boatmen,Insecta,3
Sisymbrium irio,London rocket,Plantae,3
Litaneutria ocularis,Obscure Ground Mantis,Insecta,3
Ichneumonoidea,Ichneumonid and Braconid Wasps,Insecta,3
Notodontidae,Prominent Moths,Insecta,3
Tortricidae,Tortricid Leafroller Moths,Insecta,3
Zelleria haimbachi,Pine Needle Sheathminer,Insecta,3
Toxonprucha crudelis,Cruel Toxonprucha,Insecta,3
Copestylum isabellina,Isabelle's Bromeliad Fly,Insecta,3
Trichodes ornatus,Ornate Checkered Beetle,Insecta,3
Libellula saturata,Flame Skimmer,Insecta,3
Orchelimum unispina,Arizona Meadow Katydid,Insecta,3
Cisthene tenuifascia schwarziorum,Schwarz's Lichen Moth,Insecta,3
Coleophora,Casebearers,Insecta,3
Nitidulidae,Sap-feeding Beetles,Insecta,3
Plantae,plants,Plantae,3
Erigeron,Fleabanes and Horseweeds,Plantae,3
Engytatus modestus,Tomato Bug,Insecta,3
Drepanulatrix unicalcararia,Spurred Wave Moth,Insecta,3
Arctiinae,Tiger Moths and Allies,Insecta,3
Pachypsylla venusta,Hackberry Petiole Gall Psyllid,Insecta,3
Cydia piperana,Ponderosa Pine Seedworm Moth,Insecta,3
Dictynidae,Meshweavers,Arachnida,3
Dermestidae,Skin Beetles,Insecta,3
Capnobotes fuliginosus,Sooty Longwing,Insecta,3
Chrysina lecontei,LeConte's Chrysina,Insecta,3
Sphecidae,Thread-waisted Wasps,Insecta,3
Salticidae,Jumping Spiders,Arachnida,3
Coliadinae,Yellows and Sulphurs,Insecta,3
Dioryctria cambiicola,Western Pine Moth,Insecta,3
Psychodinae,Moth Flies,Insecta,3
Cyclocephala,Masked Chafers,Insecta,3
Onagraceae,evening primrose family,Plantae,3
Entomobryidae,Slender Springtails,Animalia,3
Danaus gilippus,Queen,Insecta,3
Bombylius,Greater Bee Flies,Insecta,3
Omorgus,Bone Beetles,Insecta,3
Curculionidae,True Weevils,Insecta,3
Dioryctria,Conifer Coneworm Moths,Insecta,3
Baeolophus wollweberi,Bridled Titmouse,Aves,3
Oligotoma nigra,Black Webspinner,Insecta,3
Copestylum mexicanum,Mexican Cactus Fly,Insecta,3
Hemipenthes sinuosa,Sinuous Bee Fly,Insecta,3
Cleridae,Checkered Beetles,Insecta,3
Olethreutinae,Olethreutine Leafroller Moths,Insecta,3
Ellychnia corrusca,Winter Firefly,Animalia,3
Calidris mauri,Western Sandpiper,Aves,3
Oestroidea,"Bot Flies, Blow Flies, and Allies",Insecta,3
Nuttallanthus texanus,Texas toadflax,Plantae,3
Tripudia balteata,Belted Tripudia Moth,Insecta,3
Oenothera primiveris,desert evening-primrose,Plantae,3
Stagmomantis limbata,Arizona Mantis,Insecta,3
Eucerini,Long-horned Bees,Insecta,3
Bruchinae,Pea and Bean Weevils,Insecta,3
Ischnura ramburii,Rambur's Forktail,Insecta,3
Chrysoperla rufilabris,Red-lipped Green Lacewing,Insecta,3
Nepticulidae,Pygmy Eye-capped Moths,Insecta,3
Tripudia flavofasciata,Orange-banded Tripudia Moth,Insecta,3
Apiomerus flaviventris,Yellow-bellied Bee Assassin,Insecta,3
Plutella xylostella,Diamondback Moth,Insecta,3
Coleonyx variegatus,Western Banded Gecko,Reptilia,2
Smerinthus saliceti,Salicet Sphinx,Insecta,2
Solidago velutina,velvety goldenrod,Plantae,2
Chrysauginae,Scaly-legged Pyralids,Insecta,2
Solifugae,Solifuges,Arachnida,2
Atrytonopsis pittacus,White-barred Skipper,Insecta,2
Melanerpes formicivorus,Acorn Woodpecker,Aves,2
Bombylius major,Greater Bee Fly,Insecta,2
Lestremiinae,Lestremiine Wood Midges,Insecta,2
Colias eurytheme,Orange Sulphur,Insecta,2
Hemiargus ceraunus,Ceraunus Blue,Insecta,2
Spizella passerina,Chipping Sparrow,Aves,2
Stachys coccinea,scarlet hedgenettle,Plantae,2
Apyrrothrix araxes,Dull Firetip,Insecta,2
Culicidae,Mosquitoes,Insecta,2
Staphylus ceos,Golden-headed Scallopwing,Insecta,2
Herissantia crispa,curly herissantia,Plantae,2
Strategus aloeus,Aloeus Ox Beetle,Insecta,2
Marathyssa inficita,Dark Marathyssa Moth,Insecta,2
Chyromyidae,golden flies,Insecta,2
Hesperotettix viridis,Snakeweed Grasshopper,Insecta,2
Sympetrum corruptum,Variegated Meadowhawk,Insecta,2
Synanthedon arizonensis,Arizona Clearwing Moth,Insecta,2
Xysticus,Ground Crab Spiders,Arachnida,2
Syssphinx hubbardi,Hubbard's Silk Moth,Insecta,2
Heteropsylla texana,Mesquite Psyllid,Insecta,2
Cicindela nigrocoerulea,Black Sky Tiger Beetle,Insecta,2
Agave palmeri,Palmer's agave,Plantae,2
Hibiscus coulteri,desert rosemallow,Plantae,2
Tadarida brasiliensis,Mexican Free-tailed Bat,Mammalia,2
Cicindela ocellata,Ocellated Tiger Beetle,Insecta,2
Bombus huntii,Hunt's Bumble Bee,Insecta,2
Hirundo rustica,Barn Swallow,Aves,2
Amblyscirtes exoteria,Large Roadside-Skipper,Insecta,2
Collops quadrimaculatus,Four-spotted Collops,Insecta,2
Hoplosphyrum boreale,Western Brush Cricket,Insecta,2
Lanius ludovicianus,Loggerhead Shrike,Aves,2
Crematogaster,Cocktail Ants,Insecta,2
Tenebrionoidea,Darkling Beetles and Allies,Insecta,2
Terastia meticulosalis,Erythrina borer,Insecta,2
Lythrodes tripuncta,Lythrodes tripuncta,Insecta,2
Hydrophilidae,Water Scavenger Beetles,Insecta,2
Tettigoniinae,Shieldback Katydids,Insecta,2
Texola perse,Arizona Checkerspot,Insecta,2
Lygaeus kalmii,Small Milkweed Bug,Insecta,2
Therevidae,Stiletto Flies,Insecta,2
Hylaeus,Masked Bees,Insecta,2
Lupinus concinnus,bajada lupine,Plantae,2
Lucilia,Greenbottle Flies,Insecta,2
Lorita scarificata,Chrysanthemum Flower Borer Moth,Insecta,2
Berytidae,Stilt Bugs,Insecta,2
Tibellus,Slender Crab Spiders,Arachnida,2
Lobocleta ossularia,Drab Brown Wave,Insecta,2
Litaneutria pacifica,Minor Ground Mantis,Insecta,2
Yumachrysa apache,Apache Lacewing,Insecta,2
Idaea bonifata,Fortunate Wave,Insecta,2
Latrodectus,Widow Spiders,Arachnida,2
Ambrosia deltoidea,triangle-leaf bursage,Plantae,2
Dipterostemon capitatus,Blue Dicks,Plantae,2
Diptera,Flies,Insecta,2
Linyphiidae,Sheetweb and Dwarf Weavers,Arachnida,2
Pachypsylla celtidisvesicula,Hackberry Blister Gall Psyllid,Animalia,2
Pachysphinx occidentalis,Western Poplar Sphinx,Insecta,2
Acrolophus cressoni,Cresson's Grass Tubeworm Moth,Insecta,2
Tringa flavipes,Lesser Yellowlegs,Aves,2
Opiliones,Harvestmen,Arachnida,2
Papilio multicaudata,Two-tailed Swallowtail,Insecta,2
Parabacillus,Short-horn Walkingsticks,Insecta,2
Dynastes grantii,Grant's Hercules Beetle,Insecta,2
Paranapiacaba tricincta,Checkered Melon Beetle,Insecta,2
Paratettix aztecus,Aztec Pygmy Grasshopper,Insecta,2
Dioryctria abietivorella,Evergreen Coneworm Moth,Insecta,2
Caelifera,"Grasshoppers, Locusts, and Allies",Insecta,2
Parkinsonia microphylla,little-leaved palo verde,Plantae,2
Paropomala pallida,Pale Toothpick Grasshopper,Insecta,2
Caenocara,Puffball Beetles,Insecta,2
Pectocarya,combseeds,Plantae,2
Pemphigus populicaulis,Poplar Leaf-base Gall,Insecta,2
Emarginea percara,Beloved Emarginea Moth,Insecta,2
Empididae,Dance Flies,Insecta,2
Perityle lemmonii,Lemmon's rockdaisy,Plantae,2
Calidris minutilla,Least Sandpiper,Aves,2
Enallagma civile,Familiar Bluet,Insecta,2
Oenothera cespitosa,fragrant evening primrose,Plantae,2
Phacelia distans,distant phacelia,Plantae,2
Encelia farinosa,brittlebush,Plantae,2
Antrozous pallidus,Pallid Bat,Mammalia,2
Anas platyrhynchos,Mallard,Aves,2
Phalaropus tricolor,Wilson's Phalarope,Aves,2
Pheucticus melanocephalus,Black-headed Grosbeak,Aves,2
Limenitis arthemis arizonensis,Arizona Red-spotted Purple,Insecta,2
Condea emoryi,desert lavender,Plantae,2
Diomus debilis,Lady Beetles,Insecta,2
Phyciodes,Crescents,Insecta,2
Libytheana carinenta,American Snout,Insecta,2
Diogmites,Hanging Thief Robber Flies,Insecta,2
Abutilon incanum,pelotazo,Plantae,2
Picradeniopsis absinthifolia,hairyseed bahia,Plantae,2
Epilobium canum,California fuchsia,Plantae,2
Pipilo maculatus,Spotted Towhee,Aves,2
Digitonthophagus gazella,Gazelle Scarab,Insecta,2
Ericameria laricifolia,turpentine bush,Plantae,2
Notholaena standleyi,star cloak fern,Plantae,2
Platypedia,Wing-tapping Cicadas,Insecta,2
Plegadis chihi,White-faced Ibis,Aves,2
Acari,Mites and Ticks,Arachnida,2
Eristalis stipator,Yellow-shouldered Drone Fly,Insecta,2
Baetidae,Small Mayflies,Insecta,2
Polioptila melanura,Black-tailed Gnatcacher,Aves,2
Polistes,Umbrella Paper Wasps,Insecta,2
Campylorhynchus brunneicapillus,Cactus Wren,Aves,2
Brochymena,Rough Stink Bugs,Insecta,2
Polistes comanchus navajoe,Comanche Paper Wasp (Navajo),Insecta,2
Polistes flavus,Yellow Paper Wasp,Insecta,2
Arbutus arizonica,Arizona madrone,Plantae,2
Aristotelia corallina,Acacia Aristotelia,Insecta,2
Polycentropodidae,Tube Maker Caddisflies,Insecta,2
Polyphaga,"Water, Rove, Scarab, Long-horned, Leaf, and Snout Beetles",Insecta,2
Cogia hippalus,Acacia Skipper,Insecta,2
Neumoegenia poetica,Poetry Moth,Insecta,2
Estigmene,Ermine Moths,Insecta,2
Ponometia phecolisca,One-spotted Bird-dropping Moth,Insecta,2
Neotamias dorsalis,Cliff Chipmunk,Mammalia,2
Euchromius ocellea,Belted Grass-veneer,Insecta,2
Armadillidium vulgare,Common Pill Woodlouse,Animalia,2
Arphia conspersa,Speckle-Winged Rangeland Grasshopper,Insecta,2
Junco phaeonotus,Yellow-eyed Junco,Aves,2
Adaina ambrosiae,Ambrosia Plume Moth,Insecta,2
Neoscona oaxacensis,Western Spotted Orbweaver,Arachnida,2
Properigea costa,Barrens Moth,Insecta,2
Dialictus,Metallic Sweat Bees,Insecta,2
Diabrotica undecimpunctata,Spotted Cucumber Beetle,Insecta,2
Jundlandia lemniscata,White-striped Tiger Beetle,Insecta,2
Araneus,Angulate and Roundshouldered Orbweavers,Arachnida,2
Cathartes aura,Turkey Vulture,Aves,2
Accipiter cooperii,Cooper's Hawk,Aves,2
Catocala,Underwing Moths,Insecta,2
Anomala,Pale and Green Leaf Chafers,Insecta,2
Eupitheciini,Pug Moths & Allies,Insecta,2
Euscirrhopterus cosyra,staghorn cholla moth,Insecta,2
Baridinae,Flower Weevils,Insecta,2
Pteromalidae,Pteromalid Wasps,Insecta,2
Delphinium scaposum,bare-stem larkspur,Plantae,2
Neivamyrmex,Legionary Ants,Insecta,2
Pyraloidea,Pyralid and Crambid Snout Moths,Insecta,2
Pyrausta lethalis,Lethal Pyrausta,Insecta,2
Nectopsyche,White Miller Caddisflies,Insecta,2
Pyrocephalus rubinus,Vermilion Flycatcher,Aves,2
Nasua narica,White-nosed Coati,Mammalia,2
Myzinum,New World Banded Thynnid Wasps,Insecta,2
Venezillo arizonicus,Arizona Pill-Bug,Animalia,2
Daucus pusillus,American wild carrot,Plantae,2
Myriopteris lindheimeri,Lindheimer's lipfern,Plantae,2
Rafinesquia neomexicana,desert chicory,Plantae,2
Junonia,Buckeyes & Pansies,Insecta,2
Recurvirostra americana,American Avocet,Aves,2
Myriopteris,lip ferns,Plantae,2
Rhaphidophoridae,"Camel Crickets, Cave Crickets, and Cave Weta",Insecta,2
Myotis,Mouse-eared Bats,Mammalia,2
Brachynemurini,Long-tailed Antlions,Insecta,2
Rhopalidae,Scentless Plant Bugs,Insecta,2
Mycetozoa,slime molds,Protozoa,2
Cerceris,Typical Weevil Wasps,Insecta,2
Dasyochloa pulchella,Fluffgrass,Plantae,2
Villini,banded bee flies,Insecta,2
Latrodectus hesperus,Western Black Widow,Arachnida,2
Mulsantina picta,Painted Ladybird,Insecta,2
