recorder,recorderid,recorderlogin,identifier,ids,records,identifierid,identifierlogin,totalids
Richard Stovall,{967448},{arctic_mongoose},Susan J. Hewitt,31,2109,{50920},{susanhewitt},21010
QuestaGame,{196849},{questagame},Victor W Fazio III,31,2547,{13444},{vicfazio3},8298
Merav Vonshak,{34038},{merav},Even Dankowicz,31,6946,{165078},{edanko},9216
BJ Stacey,{10285},{finatic},naturecandids,30,9877,,,677
Alex Bairstow,{317669},{alex_bairstow},andyjones1,30,1678,{1694403},{andyjones1},8144
docprt,{802004},{docprt},andyjones1,29,13454,{1694403},{andyjones1},8144
Joseph Connors,{529040},{jciv},miatlik,29,2193,,,1073
Andy,,,Cleveland Powell,29,699,{219054},{prairie_rambler},5873
James Bailey,{6971},{silversea_starsong},Ryan O'Dell,29,4907,{2509089},{reodell},1794
Francisco Farriols Sarabia,,,solomon hendrix,29,4383,,,6833
Damon Tighe,{3494},{damontighe},Thomas Everest,29,4360,{1772002},{thomaseverest},5431
mooseandsquirrel,{2380625},{mooseandsquirrel},John Ascher,29,2509,{419371},{johnascher},26538
Noah Frade,{277896},{noaboa},Brandon Woo,29,3563,,,5259
Idlegrraphics,{370284},{idlegrraphics},J. Fernando Pío León,28,2001,{167064},{pioleon},2939
roomthily,{442615},{roomthily},Dan Beckman,28,6233,{233077},{danbeckman},431
Susan J. Hewitt,{50920},{susanhewitt},Sara Rall,28,20207,{35078},{srall},18192
Pedro Alanis,{61090},{pedro_alanis},solomon hendrix,28,343,,,6833
Jennifer Rycenga,{8778},{gyrrlfalcon},andyjones1,28,5833,{1694403},{andyjones1},8144
zihuadean,{2573085},{zihuadean},John Ascher,27,2228,{419371},{johnascher},26538
amoorehouse,{393272},{amoorehouse},John Ascher,27,1305,{419371},{johnascher},26538
walkingstick2,{448026},{walkingstick2},Cleveland Powell,27,2408,{219054},{prairie_rambler},5873
Joseph Connors,{529040},{jciv},Joshua Ekrut,27,2193,,,3650
Jared Shorma,{491170},{blazeclaw},Even Dankowicz,26,4898,{165078},{edanko},9216
MaLisa Spring,{242224},{malisaspring},solomon hendrix,26,1302,,,6833
Francisco Farriols Sarabia,,,Kyhl Austin,26,4383,{302562},{kyhlaustin},1881
Chris Evers,{61883},{cae1},Even Dankowicz,26,2605,{165078},{edanko},9216
Michele Jones,{1120841},{beetle_mch},Thomas Everest,26,2329,{1772002},{thomaseverest},5431
sarahcobbaus,{2796236},{sarahcobbaus},Dianne Clarke,26,2006,{363260},{dianneclarke},3278
roomthily,{442615},{roomthily},Even Dankowicz,26,6233,{165078},{edanko},9216
Victor Engel,{304494},{victorengel},Kyle Kittelberger,26,2887,{1167123},{hopperdude215},4053
Sara Simpkins,{1132458},{sarasims},John Ascher,26,269,{419371},{johnascher},26538
Tom Murray,{254559},{tmurray74},John Ascher,26,6260,{419371},{johnascher},26538
James Bailey,{6971},{silversea_starsong},Even Dankowicz,25,4907,{165078},{edanko},9216
Robby Deans,{18780},{hydaticus},Cleveland Powell,25,2174,{219054},{prairie_rambler},5873
roomthily,{442615},{roomthily},Andrew Core,25,6233,{523371},{andrewcore},1095
Annika Lindqvist,{24973},{annikaml},Nathan Taylor,25,7397,{43815},{nathantaylor},5515
Jared Shorma,{491170},{blazeclaw},John Ascher,25,4898,{419371},{johnascher},26538
BJ Stacey,{10285},{finatic},Jonathan Hoskins,25,9877,,,2652
Mike Farley,{131068},{mikef451},Linda Jo Conn,25,2697,{26296},{connlindajo},7080
Chris Evers,{61883},{cae1},John Ascher,25,2605,{419371},{johnascher},26538
Ken,,,Jonathan Hoskins,24,7985,,,2652
BJ Stacey,{10285},{finatic},solomon hendrix,24,9877,,,6833
Joshua Doby,{226045},{joshuadoby},Kyle Kittelberger,24,3086,{1167123},{hopperdude215},4053
Merav Vonshak,{34038},{merav},Sean Ono,24,6946,{217955},{phelsumas4life},4004
Brenna Farrell,{521996},{brennafarrell},Ryan Cooke,23,4831,{469469},{ryancooke},2754
Annika Lindqvist,{24973},{annikaml},Chuck Sexton,23,7397,{27047},{gcwarbler},5038
Martha O'Kennon,{316434},{mokennon},Kyle Kittelberger,23,565,{1167123},{hopperdude215},4053
Cin-Ty Lee,{553242},{cintylee},Matthew Pintar,23,2267,{1439513},{mpintar},5234
Cin-Ty Lee,{553242},{cintylee},Kyle Kittelberger,23,2267,{1167123},{hopperdude215},4053
Joshua Doby,{226045},{joshuadoby},Noah Frade,23,3086,{277896},{noaboa},2931
Francisco Farriols Sarabia,,,Even Dankowicz,23,4383,{165078},{edanko},9216
Teale Britstra,{1520265},{teale_britstra},Victor W Fazio III,23,415,{13444},{vicfazio3},8298
Nathan Taylor,{43815},{nathantaylor},Ulises Guzmán,23,1335,{29935},{ug56bdi},9468
Yann Kemper,{517807},{kemper},Adam Kranz,23,1213,{1673632},{megachile},8395
Francisco Farriols Sarabia,,,Michael Pirrello,23,4383,{1276353},{michaelpirrello},2142
Nicholas Soucy,{2040828},{nsouc},John Ascher,22,1270,{419371},{johnascher},26538
Ken-ichi Ueda,{1},{kueda},Ryan O'Dell,22,1754,{2509089},{reodell},1794
BJ Stacey,{10285},{finatic},Nathan Taylor,22,9877,{43815},{nathantaylor},5515
u_phantasticus,{522203},{u_phantasticus},andyjones1,22,1102,{1694403},{andyjones1},8144
Jared Shorma,{491170},{blazeclaw},solomon hendrix,22,4898,,,6833
Richard Stovall,{967448},{arctic_mongoose},John Ascher,22,2109,{419371},{johnascher},26538
James Bailey,{6971},{silversea_starsong},Amy (She/Her),22,4907,{1686028},{arboretum_amy},3996
QuestaGame,{196849},{questagame},John Ascher,22,2547,{419371},{johnascher},26538
Chuck Sexton,{27047},{gcwarbler},Nathan Taylor,22,4298,{43815},{nathantaylor},5515
James Bailey,{6971},{silversea_starsong},John Ascher,21,4907,{419371},{johnascher},26538
Chuck Sexton,{27047},{gcwarbler},Kyle Kittelberger,21,4298,{1167123},{hopperdude215},4053
James Bailey,{6971},{silversea_starsong},andyjones1,21,4907,{1694403},{andyjones1},8144
Katja Schulz,{3785},{treegrow},solomon hendrix,21,1785,,,6833
Zachary Chapman,,,Steve Jones,21,2404,,,5205
Francisco Farriols Sarabia,,,Chris Cohen,21,4383,,,2690
Jesse Rorabaugh,{52839},{glmory},Even Dankowicz,20,1295,{165078},{edanko},9216
Ken-ichi Ueda,{1},{kueda},Even Dankowicz,20,1754,{165078},{edanko},9216
Joe MDO,{349183},{joemdo},Caleb Scholtens,20,7547,{472970},{upupa-epops},1573
Thomas Koffel,{320666},{tkoffel},Kyle Kittelberger,20,3725,{1167123},{hopperdude215},4053
Merav Vonshak,{34038},{merav},Matthias Buck,20,6946,{1040988},{matthias22},7190
MaLisa Spring,{242224},{malisaspring},Adam Kranz,20,1302,{1673632},{megachile},8395
Jesse Rorabaugh,{52839},{glmory},Nathan Taylor,20,1295,{43815},{nathantaylor},5515
Joseph Connors,{529040},{jciv},Gabe King,20,2193,{2249019},{elytrid},2842
C. Mallory,{275891},{psyllidhipster},Kyle Kittelberger,20,383,{1167123},{hopperdude215},4053
QuestaGame,{196849},{questagame},Pete Woodall,20,2547,{108966},{nyoni-pete},3716
Jesse Rorabaugh,{52839},{glmory},andyjones1,20,1295,{1694403},{andyjones1},8144
Chuck Sexton,{27047},{gcwarbler},Linda Jo Conn,20,4298,{26296},{connlindajo},7080
zihuadean,{2573085},{zihuadean},Even Dankowicz,20,2228,{165078},{edanko},9216
Shawn Taylor,{385784},{atlnature},Nick Block,19,829,{39752},{nlblock},7971
Jennifer Rycenga,{8778},{gyrrlfalcon},Ryan O'Dell,19,5833,{2509089},{reodell},1794
u_phantasticus,{522203},{u_phantasticus},Thomas Everest,19,1102,{1772002},{thomaseverest},5431
Steve Jones,,,Adam Kranz,19,958,{1673632},{megachile},8395
Susan J. Hewitt,{50920},{susanhewitt},andyjones1,19,20207,{1694403},{andyjones1},8144
Jared Shorma,{491170},{blazeclaw},Steve Jones,19,4898,,,5205
Tom Palmer,{371538},{tpalmer},Kyle Kittelberger,19,3344,{1167123},{hopperdude215},4053
Joe MDO,{349183},{joemdo},Matthew Pintar,18,7547,{1439513},{mpintar},5234
Marina Gorbunova,,,Lupoli Roland,18,13760,{1530852},{lupoli_roland},11771
Brent Franklin,{25863},{brentano},Linda Jo Conn,18,3922,{26296},{connlindajo},7080
Sara Rall,{35078},{srall},Timothy Frey,18,16886,{1878779},{calconey},3583
Joel DuBois,{456853},{tuftedparidae},Andrew Meeds,18,242,{917390},{ameeds},3050
Joseph Connors,{529040},{jciv},Chuck Sexton,18,2193,{27047},{gcwarbler},5038
Maleen Mund,{1424971},{mmund},Thomas Everest,18,4416,{1772002},{thomaseverest},5431
Gabe King,{2249019},{elytrid},solomon hendrix,18,861,,,6833
Joe MDO,{349183},{joemdo},Nick Block,18,7547,{39752},{nlblock},7971
Damon Tighe,{3494},{damontighe},Ryan O'Dell,18,4360,{2509089},{reodell},1794
walkingstick2,{448026},{walkingstick2},John Ascher,18,2408,{419371},{johnascher},26538
BJ Stacey,{10285},{finatic},Jim Johnson,18,9877,{24521},{jimjohnson},2774
BJ Stacey,{10285},{finatic},Kyle Kittelberger,18,9877,{1167123},{hopperdude215},4053
Sara Rall,{35078},{srall},Susan J. Hewitt,17,16886,{50920},{susanhewitt},21010
Ken,,,John Ascher,17,7985,{419371},{johnascher},26538
Sara Rall,{35078},{srall},solomon hendrix,17,16886,,,6833
Richard Stovall,{967448},{arctic_mongoose},Nick Block,17,2109,{39752},{nlblock},7971
Chuck Sexton,{27047},{gcwarbler},solomon hendrix,17,4298,,,6833
u_phantasticus,{522203},{u_phantasticus},John Ascher,17,1102,{419371},{johnascher},26538
Joe MDO,{349183},{joemdo},Noah Frade,17,7547,{277896},{noaboa},2931
Noah Frade,{277896},{noaboa},John Ascher,17,3563,{419371},{johnascher},26538
Eric Carpenter,{68260},{ecarpe},Kyle Kittelberger,17,2992,{1167123},{hopperdude215},4053
Even Dankowicz,{165078},{edanko},Lupoli Roland,17,1288,{1530852},{lupoli_roland},11771
Victor W Fazio III,{13444},{vicfazio3},WonGun Kim,17,3296,,,5063
Annika Lindqvist,{24973},{annikaml},solomon hendrix,17,7397,,,6833
Idlegrraphics,{370284},{idlegrraphics},Nathan Taylor,17,2001,{43815},{nathantaylor},5515
Chris Evers,{61883},{cae1},Nick Block,17,2605,{39752},{nlblock},7971
Joseph Salmieri Jr.,{1054256},{josephthebirder},Sara Rall,17,2953,{35078},{srall},18192
BJ Stacey,{10285},{finatic},Kyhl Austin,16,9877,{302562},{kyhlaustin},1881
James Bailey,{6971},{silversea_starsong},Joshua Ekrut,16,4907,,,3650
Richard Stovall,{967448},{arctic_mongoose},Lupoli Roland,16,2109,{1530852},{lupoli_roland},11771
John Garrett,{356115},{johngarrett},John Ascher,16,1212,{419371},{johnascher},26538
Joe MDO,{349183},{joemdo},John Ascher,16,7547,{419371},{johnascher},26538
Annika Lindqvist,{24973},{annikaml},Jonathan Hoskins,16,7397,,,2652
Joseph Connors,{529040},{jciv},solomon hendrix,16,2193,,,6833
Jennifer Rycenga,{8778},{gyrrlfalcon},Nick Block,16,5833,{39752},{nlblock},7971
Darin J McGuire,{6333},{darinjm7},Even Dankowicz,16,150,{165078},{edanko},9216
Eric Running,{300689},{ewrunn1ng},Thomas Everest,16,3126,{1772002},{thomaseverest},5431
Idlegrraphics,{370284},{idlegrraphics},roomthily,16,2001,{442615},{roomthily},11811
C. Mallory,{275891},{psyllidhipster},Even Dankowicz,16,383,{165078},{edanko},9216
BJ Stacey,{10285},{finatic},Even Dankowicz,16,9877,{165078},{edanko},9216
John Abrams,,,Ryan Cooke,16,3823,{469469},{ryancooke},2754
MaLisa Spring,{242224},{malisaspring},roomthily,16,1302,{442615},{roomthily},11811
Elizabeth Rosenauer,{22642},{elizrose},Chuck Sexton,16,562,{27047},{gcwarbler},5038
Ryan Cooke,{469469},{ryancooke},John Ascher,16,2781,{419371},{johnascher},26538
Michele Jones,{1120841},{beetle_mch},John Ascher,16,2329,{419371},{johnascher},26538
Jesse Rorabaugh,{52839},{glmory},Amy (She/Her),16,1295,{1686028},{arboretum_amy},3996
Joshua Doby,{226045},{joshuadoby},Tom Palmer,15,3086,{371538},{tpalmer},3044
Susan J. Hewitt,{50920},{susanhewitt},solomon hendrix,15,20207,,,6833
Susan J. Hewitt,{50920},{susanhewitt},Matthias Buck,15,20207,{1040988},{matthias22},7190
Francisco Farriols Sarabia,,,Joshua Smith,15,4383,,,484
johncarlson,{179022},{johncarlson},solomon hendrix,15,584,,,6833
Jesse Rorabaugh,{52839},{glmory},Sam,15,1295,,,773
solomon hendrix,,,Tom Murray,15,382,{254559},{tmurray74},6034
Merav Vonshak,{34038},{merav},Trina Roberts,15,6946,{1163777},{trinaroberts},4651
Richard Stovall,{967448},{arctic_mongoose},Jonathan Hoskins,15,2109,,,2652
Linda Jo Conn,{26296},{connlindajo},Adam Kranz,15,3968,{1673632},{megachile},8395
Shawn Taylor,{385784},{atlnature},Liam Wolff,15,829,{1548062},{ospr3y},3634
Victor Engel,{304494},{victorengel},Chuck Sexton,15,2887,{27047},{gcwarbler},5038
MaLisa Spring,{242224},{malisaspring},Chris Cohen,15,1302,,,2690
Zachary Chapman,,,Kyle Kittelberger,15,2404,{1167123},{hopperdude215},4053
Damon Tighe,{3494},{damontighe},Even Dankowicz,15,4360,{165078},{edanko},9216
Ben Armstrong,{545640},{benarmstrong},Even Dankowicz,15,512,{165078},{edanko},9216
Thomas Koffel,{320666},{tkoffel},Even Dankowicz,15,3725,{165078},{edanko},9216
Susan J. Hewitt,{50920},{susanhewitt},Fabien Piednoir,15,20207,,,2737
Joe MDO,{349183},{joemdo},Liam Wolff,15,7547,{1548062},{ospr3y},3634
MaLisa Spring,{242224},{malisaspring},Kyle Kittelberger,15,1302,{1167123},{hopperdude215},4053
Thomas Koffel,{320666},{tkoffel},solomon hendrix,15,3725,,,6833
sunnyjosef,{144118},{sunnyjosef},Manoj Karingamadathil,14,567,{6490},{manojkmohan},514
amoorehouse,{393272},{amoorehouse},Jonathan Hoskins,14,1305,,,2652
Marina Gorbunova,,,John Ascher,14,13760,{419371},{johnascher},26538
James Kindt,{1809393},{jtkindt},John Ascher,14,527,{419371},{johnascher},26538
amoorehouse,{393272},{amoorehouse},Paul Masonick,14,1305,{117486},{pmasonick},491
Zachary Chapman,,,Linda Jo Conn,14,2404,{26296},{connlindajo},7080
Annika Lindqvist,{24973},{annikaml},Linda Jo Conn,14,7397,{26296},{connlindajo},7080
amoorehouse,{393272},{amoorehouse},Kyle Kittelberger,14,1305,{1167123},{hopperdude215},4053
Eric Running,{300689},{ewrunn1ng},Even Dankowicz,14,3126,{165078},{edanko},9216
Susan J. Hewitt,{50920},{susanhewitt},Adam Kranz,14,20207,{1673632},{megachile},8395
Ethan,,,Even Dankowicz,14,1485,{165078},{edanko},9216
Brent Franklin,{25863},{brentano},Chuck Sexton,14,3922,{27047},{gcwarbler},5038
James Bailey,{6971},{silversea_starsong},Matthew Pintar,14,4907,{1439513},{mpintar},5234
Joshua Doby,{226045},{joshuadoby},Brandon Woo,14,3086,,,5259
Rebecca Marschall,{1850},{bbunny},Even Dankowicz,14,1567,{165078},{edanko},9216
Jesse Rorabaugh,{52839},{glmory},James Bailey,14,1295,{6971},{silversea_starsong},4319
Sara Rall,{35078},{srall},Brandon Woo,14,16886,,,5259
Jesse Rorabaugh,{52839},{glmory},John Ascher,14,1295,{419371},{johnascher},26538
katrina hashagen,{51059},{khashagen},John Ascher,14,1253,{419371},{johnascher},26538
u_phantasticus,{522203},{u_phantasticus},Even Dankowicz,14,1102,{165078},{edanko},9216
Jesse Rorabaugh,{52839},{glmory},Kyle Kittelberger,14,1295,{1167123},{hopperdude215},4053
Amy (She/Her),{1686028},{arboretum_amy},andyjones1,14,1401,{1694403},{andyjones1},8144
Bill Lucas,,,John Ascher,14,1070,{419371},{johnascher},26538
jfb22,{2891789},{jfb22},Jurek Radwański,14,1788,,,398
Jared Shorma,{491170},{blazeclaw},James Bailey,14,4898,{6971},{silversea_starsong},4319
Joe MDO,{349183},{joemdo},Kyle Kittelberger,13,7547,{1167123},{hopperdude215},4053
José Belem Hernández Díaz,{42111},{belemqueuedelapin},Ulises Guzmán,13,1023,{29935},{ug56bdi},9468
Jesse Rorabaugh,{52839},{glmory},Trina Roberts,13,1295,{1163777},{trinaroberts},4651
Nicholas Soucy,{2040828},{nsouc},solomon hendrix,13,1270,,,6833
Nicholas Soucy,{2040828},{nsouc},Jurek Radwański,13,1270,,,398
Noah Frade,{277896},{noaboa},Kyle Kittelberger,13,3563,{1167123},{hopperdude215},4053
Tom Palmer,{371538},{tpalmer},John Ascher,13,3344,{419371},{johnascher},26538
Bill Schur,{407471},{cwd912nb},Even Dankowicz,13,1567,{165078},{edanko},9216
walkingstick2,{448026},{walkingstick2},Even Dankowicz,13,2408,{165078},{edanko},9216
Zachary Chapman,,,Cleveland Powell,13,2404,{219054},{prairie_rambler},5873
Brent Franklin,{25863},{brentano},Nathan Taylor,13,3922,{43815},{nathantaylor},5515
amoorehouse,{393272},{amoorehouse},solomon hendrix,13,1305,,,6833
Rebecca Marschall,{1850},{bbunny},andyjones1,13,1567,{1694403},{andyjones1},8144
Brenna Farrell,{521996},{brennafarrell},solomon hendrix,13,4831,,,6833
James Bailey,{6971},{silversea_starsong},Steve Jones,13,4907,,,5205
Eric Simons,{3809},{ericsimons},Even Dankowicz,13,913,{165078},{edanko},9216
Francisco Farriols Sarabia,,,Kyle Kittelberger,13,4383,{1167123},{hopperdude215},4053
Bill Schur,{407471},{cwd912nb},Trina Roberts,13,1567,{1163777},{trinaroberts},4651
Joshua Doby,{226045},{joshuadoby},Nathan Taylor,13,3086,{43815},{nathantaylor},5515
Rebecca Marschall,{1850},{bbunny},solomon hendrix,13,1567,,,6833
Michele Jones,{1120841},{beetle_mch},solomon hendrix,13,2329,,,6833
John Abrams,,,John Ascher,13,3823,{419371},{johnascher},26538
Jennifer Rycenga,{8778},{gyrrlfalcon},Matthias Buck,13,5833,{1040988},{matthias22},7190
gernotkunz,{827504},{gernotkunz},Jiri Hodecek,12,7789,{2781414},{jiri_hodecek},1738
Rebecca Essenpreis,{1160656},{ressenpreis},Even Dankowicz,12,254,{165078},{edanko},9216
Andy Newman,{56498},{anewman},Cleveland Powell,12,582,{219054},{prairie_rambler},5873
James Bailey,{6971},{silversea_starsong},Kyle Kittelberger,12,4907,{1167123},{hopperdude215},4053
Tom Palmer,{371538},{tpalmer},Matthew Pintar,12,3344,{1439513},{mpintar},5234
Katja Schulz,{3785},{treegrow},Kyle Kittelberger,12,1785,{1167123},{hopperdude215},4053
James Bailey,{6971},{silversea_starsong},Nick Block,12,4907,{39752},{nlblock},7971
Lyn Craggs,{2705427},{dlync},Victor W Fazio III,12,189,{13444},{vicfazio3},8298
Millie Basden,{159364},{milliebasden},John Ascher,12,5203,{419371},{johnascher},26538
Zachary Chapman,,,John Ascher,12,2404,{419371},{johnascher},26538
Ryan Cooke,{469469},{ryancooke},Brandon Woo,12,2781,,,5259
Susan J. Hewitt,{50920},{susanhewitt},Thomas Everest,12,20207,{1772002},{thomaseverest},5431
mooseandsquirrel,{2380625},{mooseandsquirrel},Nick Block,12,2509,{39752},{nlblock},7971
Linda Jo Conn,{26296},{connlindajo},Chuck Sexton,12,3968,{27047},{gcwarbler},5038
Joe MDO,{349183},{joemdo},Even Dankowicz,12,7547,{165078},{edanko},9216
Zachary Chapman,,,solomon hendrix,12,2404,,,6833
Joseph Connors,{529040},{jciv},Kyle Kittelberger,12,2193,{1167123},{hopperdude215},4053
Bill Schur,{407471},{cwd912nb},Linda Jo Conn,12,1567,{26296},{connlindajo},7080
James Bailey,{6971},{silversea_starsong},solomon hendrix,12,4907,,,6833
solomon hendrix,,,Kyle Kittelberger,12,382,{1167123},{hopperdude215},4053
Chris Evers,{61883},{cae1},Trina Roberts,12,2605,{1163777},{trinaroberts},4651
tjeales,{1274785},{tjeales},Dianne Clarke,12,1649,{363260},{dianneclarke},3278
walkingstick2,{448026},{walkingstick2},Adam Kranz,12,2408,{1673632},{megachile},8395
zihuadean,{2573085},{zihuadean},Trina Roberts,12,2228,{1163777},{trinaroberts},4651
Jared Shorma,{491170},{blazeclaw},Kyhl Austin,12,4898,{302562},{kyhlaustin},1881
Steve Jones,,,Ulises Guzmán,12,958,{29935},{ug56bdi},9468
Mike Plagens,{375489},{mjplagens},Even Dankowicz,12,1831,{165078},{edanko},9216
Andrew Meeds,{917390},{ameeds},Mike Plagens,12,552,{375489},{mjplagens},2239
Linda Rogan EntSocVic,,,WonGun Kim,12,943,,,5063
Victor Engel,{304494},{victorengel},Liam Wolff,12,2887,{1548062},{ospr3y},3634
Rebecca Marschall,{1850},{bbunny},John Ascher,12,1567,{419371},{johnascher},26538
Even Dankowicz,{165078},{edanko},Adam Kranz,12,1288,{1673632},{megachile},8395
John Garrett,{356115},{johngarrett},Even Dankowicz,12,1212,{165078},{edanko},9216
Richard Stovall,{967448},{arctic_mongoose},Alex Harman,12,2109,{579740},{alex_cicindela_guy},4483
Even Dankowicz,{165078},{edanko},Matthew Pintar,12,1288,{1439513},{mpintar},5234
